coin_id,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_14d,price_change_percentage_30d,price_change_percentage_60d,price_change_percentage_200d,price_change_percentage_1y
bitcoin,1.08388,7.60278,6.57509,7.67258,-3.25185,83.5184,37.51761
ethereum,0.22392,10.38134,4.80849,0.13169,-12.8889,186.77418,101.96023
tether,-0.21173,0.04935,0.0064,-0.04237,0.28037,-0.00542,0.01954
ripple,-0.37819,-0.60926,2.24984,0.23455,-17.55245,39.53888,-16.60193
bitcoin-cash,2.90585,17.09717,14.75334,15.74903,-13.71793,21.66042,14.49384
binancecoin,2.10423,12.85511,6.80688,0.05865,36.33486,155.61937,69.69195
chainlink,-0.23935,20.69459,9.30098,-11.21747,-43.69522,403.22917,325.13186
cardano,0.00322,13.99302,5.55476,10.10553,-22.84776,264.51418,156.09756
litecoin,-0.06341,6.60221,7.28931,1.21662,-17.2396,27.49919,-12.66408
bitcoin-cash-sv,0.9253,3.29641,-1.86656,2.88926,-24.87434,7.42562,93.73082
crypto-com-chain,1.29512,6.1669,-3.28492,-9.88766,-9.97428,226.42313,305.08707
usd-coin,-0.21229,0.04935,0.04254,-0.04881,0.16823,-0.05799,0.00322
eos,-0.19315,3.75831,-3.15919,-8.06873,-36.29334,-15.22493,-31.10550829
monero,0.58355,6.27365,3.44172,0.43891,-13.81588,83.85254,100.97111
tron,-0.48849,7.49734,2.28621,1.99962,-24.00361,77.05296,7.18232
stellar,-0.10075,2.07211,-4.39629,-6.02675,-13.08658,81.90878,16.34652
